Track Name,Artist Name,Genres,Popularity,Duration (ms),Explicit,Release Date,Time,Danceability,Energy,Loudness,Speechiness,Instrumentalness,Valence,Tempo,Track Count
hit the dirt,gavn!,['Unknown'],65,138461,False,2023-01-13,22:41:31.239000,0.44,0.369,-10.205,0.0423,0,0.531,103.991
everything everywhere always,elijah woods,['Unknown'],69,147847,False,2022-08-19,22:39:21.965000,0.402,0.38,-10.233,0.045,2.58e-06,0.187,143.632
Forever,Lewis Capaldi,['Unknown'],79,210863,False,2019-05-17,22:36:54.055000,0.646,0.355,-7.119,0.0263,0,0.364,84.988
Rewrite The Stars,Zac Efron,['Unknown'],76,217440,False,2017-11-17,22:33:22.567000,0.684,0.619,-7.005,0.0386,0,0.284,125.046
Na Ja,Pav Dharia,['Unknown'],76,208000,False,2017-02-21,22:29:44.988000,0.772,0.649,-6.411,0.143,0,0.824,90.072
"Ye Go Ye Ye Maina - From ""Jatra""",Ajay,['Unknown'],52,323184,False,2014-10-29,23:08:55.238000,0.446,0.837,-6.39,0.0659,1.21e-05,0.73,120.035
Mujhse Shaadi Karogi,Sonu Nigam,['Unknown'],64,326226,False,2004-05-31,20:18:51.154000,0.766,0.942,-6.757,0.0439,0.000202,0.797,127.033
Lalala - Ilkan Gunuc Remix,Y2K,['Unknown'],63,178407,True,2019-10-28,20:11:04.333000,0.774,0.831,-4.672,0.0514,2.21e-06,0.333,124.035
"Ek Dil Ek Jaan (From ""Padmaavat"")",Shivam Pathak,['Unknown'],65,219869,False,2017-11-11,20:03:42.047000,0.528,0.664,-7.262,0.0377,0,0.109,97.893
Pinga,Shreya Ghoshal,['Unknown'],52,255169,False,2015-11-25,20:00:02.134000,0.648,0.84,-3.754,0.164,0,0.824,95.211
Jab Deep Jale Aana,K. J. Yesudas,['Unknown'],50,329276,False,1976-12-20,19:52:43.311000,0.438,0.564,-6.524,0.036,2.2e-05,0.49,83.961
Chiraiyya,Swanand Kirkire,['Unknown'],50,253074,False,2012-05-08,19:28:05.020000,0.659,0.315,-10.503,0.0286,0,0.342,119.79
O Meri Zohrajabeen,Himesh Reshammiya,['Unknown'],55,323080,False,2006-05-13,13:50:24.524000,0.753,0.987,-6.812,0.198,2.47e-06,0.718,137.039
Senorita,Farhan Akhtar,['Unknown'],68,229575,False,2011-06-06,12:37:32.824000,0.701,0.681,-6.442,0.0466,0,0.81,122.539
Baharla Ha Madhumas,Ajay-Atul,['Unknown'],62,223831,False,2023-02-27,23:55:39.420000,0.746,0.378,-9.936,0.0627,0.000352,0.589,134.952
Kon Disa Mein,Varsha Singh Dhanoa,['Unknown'],68,60000,False,2023-04-13,23:54:24.439000,0.855,0.276,-9.436,0.227,0,0.891,113.427
Gun Gun Guna,Ajay-Atul,['Unknown'],55,275386,False,2011-12-16,23:53:24.446000,0.666,0.86,-5.084,0.129,9.06e-05,0.538,95.087
Malang Sajna,Sachet Tandon,['Unknown'],86,161041,False,2022-12-19,23:48:50.040000,0.739,0.716,-4.964,0.037,0,0.871,113.943
Maan Meri Jaan,King,['Unknown'],87,194653,False,2022-10-12,13:17:11.962000,0.698,0.505,-8.242,0.0356,0,0.396,95.868
Someone You Loved,Lewis Capaldi,['Unknown'],92,182160,False,2019-05-17,00:14:00.945000,0.501,0.405,-5.679,0.0319,0,0.446,109.891
Lalala - Ilkan Gunuc Remix,Y2K,['Unknown'],63,178407,True,2019-10-28,22:20:12.496000,0.774,0.831,-4.672,0.0514,2.21e-06,0.333,124.035
